;;Tensión constante 35kV;;;;;;;;
;;;;;;;;;;
Ángulo del crista;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV;Tasa con 35kV
theta/°;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s;R(35kV)/Imp/s
;0,1mA;0,2mA;0,3mA;0,4mA;0,5mA;0,6mA;0,7mA;0,8mA;0,9mA;1mA
19;68;161;230;316;398;475;520;595;696;751
19,1;71;142;227;319;394;472;512;644;710;781
19,2;73;153;257;318;387;469;538;610;688;744
19,3;63;159;239;339;403;480;569;641;697;782
19,4;68;165;251;297;409;469;548;615;673;808
19,5;84;162;245;287;397;463;561;617;704;748
19,6;79;157;236;320;393;483;589;636;725;767
19,7;89;161;243;355;431;533;615;657;745;829
19,8;78;197;286;393;470;574;640;803;901;940
19,9;211;482;729;946;1205;1410;1575;1750;1860;2098
20;401;907;1290;1731;2071;2466;2832;3093;3421;3751
20,1;397;823;1185;1530;1892;2295;2628;2955;3186;3453
20,2;376;791;1186;1511;1921;2155;2521;2870;3123;3388
20,3;311;646;980;1264;1513;1854;2165;2413;2712;3041
20,4;109;215;318;449;560;675;806;875;994;1098
20,5;103;203;287;406;504;552;706;795;837;929
20,6;92;190;269;383;482;586;645;718;798;921
20,7;87;183;260;362;479;527;600;719;779;887
20,8;92;163;274;340;433;549;608;679;0;846
20,9;78;186;249;347;433;521;595;651;770;835
21;78;167;268;318;418;522;589;678;705;818
21,1;76;167;228;325;408;499;576;663;719;787
21,2;79;169;263;306;436;511;534;641;755;827
21,3;77;165;255;324;417;489;563;678;755;808
21,4;76;155;273;313;428;496;596;691;717;796
21,5;73;176;255;340;432;535;588;716;761;863
21,6;71;173;275;361;449;527;622;704;809;865
21,7;83;158;271;374;493;539;637;689;823;908
21,8;96;200;294;372;480;577;685;777;856;951
21,9;105;201;335;432;535;676;705;844;946;1041
22;132;262;411;510;674;764;934;1061;1118;1275
22,1;304;670;1024;1355;1653;1889;2082;2397;2543;2749
22,2;1105;2226;3293;4254;5007;5613;6278;7045;7670;8216
22,3;1548;3068;4243;5379;6341;7431;8576;9375;10117;10750
22,4;1498;2970;4197;5209;6349;7330;8480;9243;10044;10807
22,5;1480;2855;4127;5054;6142;7305;8335;9232;9967;10661
22,6;833;1632;2353;2985;3549;4193;4837;5393;5988;6661
22,7;178;353;518;674;850;1018;1213;1341;1546;1718
22,8;113;217;311;418;515;636;750;849;980;1043
22,9;71;177;252;359;432;498;625;688;754;857
23;78;163;244;299;404;468;559;633;692;804
23,1;67;144;238;283;387;444;532;600;670;758
23,2;60;127;199;268;357;432;497;545;652;715
23,3;65;140;208;275;333;421;482;536;605;676
23,4;54;136;218;265;314;384;476;516;606;633
23,5;59;121;176;255;324;396;448;495;566;632
23,6;51;122;167;245;314;374;429;509;578;630
23,7;55;125;181;236;296;381;425;490;555;596
23,8;59;121;179;216;292;356;435;471;487;596
23,9;45;109;159;245;292;353;448;478;528;583
24;56;121;172;235;296;362;392;447;554;608
