SIN BARRERA;;al 0,02 mm;;Al 0,04;;Al 0,06;;Al 0,08;;Al 0,1;;Zn 0,025;;Zn 0,05;;Zn 0,075;;Zn 0,1;
Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV;Ángulo del crista;Tasa con 30kV
theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s;theta/°;R(30kV)/Imp/s
;;;;;;;;;;;;;;;;;;;
6;963;6;784;6;665;6;586;6;512;6;477;6;392;6;197;6;103;6;39
7;835;7;677;7;568;7;496;7;430;7;396;7;327;7;156;7;71;7;21
8;571;8;465;8;405;8;365;8;328;8;307;8;217;8;101;8;47;8;13
9;379;9;319;9;294;9;271;9;254;9;241;9;136;9;61;9;31;9;10
10;325;10;271;10;253;10;240;10;225;10;215;10;102;10;46;10;23;10;9
11;315;11;271;11;247;11;236;11;219;11;209;11;94;11;44;11;23;11;9
12;294;12;245;12;222;12;209;12;194;12;184;12;85;12;40;12;24;12;10
13;291;;;;;;;;;;;13;77;;;;;;
14;285;;;;;;;;;;;;;;;;;;
15;267;;;;;;;;;;;;;;;;;;
16;261;;;;;;;;;;;;;;;;;;
